Entry	Entry name	Protein description	Gene name	Organism
A0A0A0MTA4	TJB25_HUMAN	TJB25_HUMAN T cell receptor beta joining 2-5	TRBJ2-5	Homo sapiens
A0A0A0MTA7	TJB21_HUMAN	TJB21_HUMAN T cell receptor beta joining 2-1	TRBJ2-1	Homo sapiens
A0A0A6YYC5	TVA14_HUMAN	TVA14_HUMAN T cell receptor alpha variable 14/delta variable 4	TRAV14DV4	Homo sapiens
A0A0A6YYD4	TVB13_HUMAN	TVB13_HUMAN T cell receptor beta variable 13	TRBV13	Homo sapiens
A0A0A6YYG2	TVB66_HUMAN	TVB66_HUMAN T cell receptor beta variable 6-6	TRBV6-6	Homo sapiens
A0A0A6YYG3	TVB68_HUMAN	TVB68_HUMAN T cell receptor beta variable 6-8	TRBV6-8	Homo sapiens
A0A0A6YYJ7	TVA83_HUMAN	TVA83_HUMAN T cell receptor alpha variable 8-3	TRAV8-3	Homo sapiens
A0A0A6YYK1	TVA81_HUMAN	TVA81_HUMAN T cell receptor alpha variable 8-1	TRAV8-1	Homo sapiens
A0A0A6YYK4	TVB71_HUMAN	TVB71_HUMAN Probable non-functional T cell receptor beta variable 7-1	TRBV7-1	Homo sapiens
A0A0A6YYK6	TVA16_HUMAN	TVA16_HUMAN T cell receptor alpha variable 16	TRAV16	Homo sapiens
A0A0A6YYK7	TVA19_HUMAN	TVA19_HUMAN T cell receptor alpha variable 19	TRAV19	Homo sapiens
A0A0A6YYL3	POTEB_HUMAN	POTEB_HUMAN POTE ankyrin domain family member B	POTEB	Homo sapiens
A0A0B4J1U3	LV136_HUMAN	LV136_HUMAN Immunoglobulin lambda variable 1-36	IGLV1-36	Homo sapiens
A0A0B4J1U4	TRGV5_HUMAN	TRGV5_HUMAN T cell receptor gamma variable 5	TRGV5	Homo sapiens
A0A0B4J1U6	TVB9_HUMAN	TVB9_HUMAN T cell receptor beta variable 9	TRBV9	Homo sapiens
A0A0B4J1U7	HV601_HUMAN	HV601_HUMAN Immunoglobulin heavy variable 6-1	IGHV6-1	Homo sapiens
A0A0B4J1V0	HV315_HUMAN	HV315_HUMAN Immunoglobulin heavy variable 3-15	IGHV3-15	Homo sapiens
A0A0B4J1V1	HV321_HUMAN	HV321_HUMAN Immunoglobulin heavy variable 3-21	IGHV3-21	Homo sapiens
A0A0B4J1V2	HV226_HUMAN	HV226_HUMAN Immunoglobulin heavy variable 2-26	IGHV2-26	Homo sapiens
A0A0B4J1V6	HV373_HUMAN	HV373_HUMAN Immunoglobulin heavy variable 3-73	IGHV3-73	Homo sapiens
A0A0B4J1V7	HV781_HUMAN	HV781_HUMAN Probable non-functional immunoglobulin heavy variable 7-81	IGHV7-81	Homo sapiens
A0A0B4J1X5	HV374_HUMAN	HV374_HUMAN Immunoglobulin heavy variable 3-74	IGHV3-74	Homo sapiens
A0A0B4J1X8	HV343_HUMAN	HV343_HUMAN Immunoglobulin heavy variable 3-43	IGHV3-43	Homo sapiens
A0A0B4J1Y8	LV949_HUMAN	LV949_HUMAN Immunoglobulin lambda variable 9-49	IGLV9-49	Homo sapiens
A0A0B4J1Y9	HV372_HUMAN	HV372_HUMAN Immunoglobulin heavy variable 3-72	IGHV3-72	Homo sapiens
A0A0B4J1Z2	KVD43_HUMAN	KVD43_HUMAN Immunoglobulin kappa variable 1D-43	IGKV1D-43	Homo sapiens
A0A0B4J200	TJB23_HUMAN	TJB23_HUMAN T cell receptor beta joining 2-3	TRBJ2-3	Homo sapiens
A0A0B4J234	TVA2_HUMAN	TVA2_HUMAN T cell receptor alpha variable 2	TRAV2	Homo sapiens
A0A0B4J235	TVAM2_HUMAN	TVAM2_HUMAN T cell receptor alpha variable 13-2	TRAV13-2	Homo sapiens
A0A0B4J237	TVA82_HUMAN	TVA82_HUMAN T cell receptor alpha variable 8-2	TRAV8-2	Homo sapiens
A0A0B4J238	TVA12_HUMAN	TVA12_HUMAN T cell receptor alpha variable 1-2	TRAV1-2	Homo sapiens
A0A0B4J240	TVA10_HUMAN	TVA10_HUMAN T cell receptor alpha variable 10	TRAV10	Homo sapiens
A0A0B4J241	TVAM1_HUMAN	TVAM1_HUMAN T cell receptor alpha variable 13-1	TRAV13-1	Homo sapiens
A0A0B4J244	TVA3_HUMAN	TVA3_HUMAN T cell receptor alpha variable 3	TRAV3	Homo sapiens
A0A0B4J245	TVAL1_HUMAN	TVAL1_HUMAN T cell receptor alpha variable 12-1	TRAV12-1	Homo sapiens
A0A0B4J248	TVA11_HUMAN	TVA11_HUMAN T cell receptor alpha variable 1-1	TRAV1-1	Homo sapiens
A0A0B4J249	TVA5_HUMAN	TVA5_HUMAN T cell receptor alpha variable 5	TRAV5	Homo sapiens
A0A0B4J262	TVA86_HUMAN	TVA86_HUMAN T cell receptor alpha variable 8-6	TRAV8-6	Homo sapiens
A0A0B4J263	TVA39_HUMAN	TVA39_HUMAN T cell receptor alpha variable 39	TRAV39	Homo sapiens
A0A0B4J264	TV381_HUMAN	TV381_HUMAN T cell receptor alpha variable 38-1	TRAV38-1	Homo sapiens
A0A0B4J265	TVAZ2_HUMAN	TVAZ2_HUMAN T cell receptor alpha variable 26-2	TRAV26-2	Homo sapiens
A0A0B4J266	TVA41_HUMAN	TVA41_HUMAN T cell receptor alpha variable 41	TRAV41	Homo sapiens
A0A0B4J268	TVA4_HUMAN	TVA4_HUMAN T cell receptor alpha variable 4	TRAV4	Homo sapiens
A0A0B4J271	TVAL3_HUMAN	TVAL3_HUMAN T cell receptor alpha variable 12-3	TRAV12-3	Homo sapiens
A0A0B4J272	TVA24_HUMAN	TVA24_HUMAN T cell receptor alpha variable 24	TRAV24	Homo sapiens
A0A0B4J273	TVA34_HUMAN	TVA34_HUMAN T cell receptor alpha variable 34	TRAV34	Homo sapiens
A0A0B4J274	TVA20_HUMAN	TVA20_HUMAN T cell receptor alpha variable 20	TRAV20	Homo sapiens
A0A0B4J275	TVA17_HUMAN	TVA17_HUMAN T cell receptor alpha variable 17	TRAV17	Homo sapiens
A0A0B4J276	TVA25_HUMAN	TVA25_HUMAN T cell receptor alpha variable 25	TRAV25	Homo sapiens
A0A0B4J277	TVA22_HUMAN	TVA22_HUMAN T cell receptor alpha variable 22	TRAV22	Homo sapiens
A0A0B4J279	TVA21_HUMAN	TVA21_HUMAN T cell receptor alpha variable 21	TRAV21	Homo sapiens
A0A0B4J280	TVA40_HUMAN	TVA40_HUMAN T cell receptor alpha variable 40	TRAV40	Homo sapiens
A0A0B4J2A2	PAL4C_HUMAN	PAL4C_HUMAN Peptidyl-prolyl cis-trans isomerase A-like 4C	PPIAL4C	Homo sapiens
A0A0B4J2D5	GAL3B_HUMAN	GAL3B_HUMAN Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	GATD3B	Homo sapiens
A0A0B4J2D9	KVD13_HUMAN	KVD13_HUMAN Immunoglobulin kappa variable 1D-13	IGKV1D-13	Homo sapiens
A0A0B4J2E0	TVBL4_HUMAN	TVBL4_HUMAN T cell receptor beta variable 12-4	TRBV12-4	Homo sapiens
A0A0B4J2F0	PIOS1_HUMAN	PIOS1_HUMAN Protein PIGBOS1	PIGBOS1	Homo sapiens
A0A0B4J2F2	SIK1B_HUMAN	SIK1B_HUMAN Putative serine/threonine-protein kinase SIK1B	SIK1B	Homo sapiens
A0A0B4J2H0	HV69D_HUMAN	HV69D_HUMAN Immunoglobulin heavy variable 1-69D	IGHV1-69D	Homo sapiens
A0A0C4DH24	KV621_HUMAN	KV621_HUMAN Immunoglobulin kappa variable 6-21	IGKV6-21	Homo sapiens
A0A0C4DH25	KVD20_HUMAN	KVD20_HUMAN Immunoglobulin kappa variable 3D-20	IGKV3D-20	Homo sapiens
A0A0C4DH26	KVD41_HUMAN	KVD41_HUMAN Probable non-functional immunoglobulin kappa variable 6D-41	IGKV6D-41	Homo sapiens
A0A0C4DH27	TRGV8_HUMAN	TRGV8_HUMAN T cell receptor gamma variable 8	TRGV8	Homo sapiens
A0A0C4DH28	TRGV4_HUMAN	TRGV4_HUMAN T cell receptor gamma variable 4	TRGV4	Homo sapiens
A0A0C4DH29	HV103_HUMAN	HV103_HUMAN Immunoglobulin heavy variable 1-3	IGHV1-3	Homo sapiens
A0A0C4DH30	HV316_HUMAN	HV316_HUMAN Probable non-functional immunoglobulin heavy variable 3-16	IGHV3-16	Homo sapiens
A0A0C4DH31	HV118_HUMAN	HV118_HUMAN Immunoglobulin heavy variable 1-18	IGHV1-18	Homo sapiens
A0A0C4DH32	HV320_HUMAN	HV320_HUMAN Immunoglobulin heavy variable 3-20	IGHV3-20	Homo sapiens
A0A0C4DH33	HV124_HUMAN	HV124_HUMAN Immunoglobulin heavy variable 1-24	IGHV1-24	Homo sapiens
A0A0C4DH34	HV428_HUMAN	HV428_HUMAN Immunoglobulin heavy variable 4-28	IGHV4-28	Homo sapiens
A0A0C4DH35	HV335_HUMAN	HV335_HUMAN Probable non-functional immunoglobulin heavy variable 3-35	IGHV3-35	Homo sapiens
A0A0C4DH36	HV338_HUMAN	HV338_HUMAN Probable non-functional immunoglobulin heavy variable 3-38	IGHV3-38	Homo sapiens
A0A0C4DH38	HV551_HUMAN	HV551_HUMAN Immunoglobulin heavy variable 5-51	IGHV5-51	Homo sapiens
A0A0C4DH39	HV158_HUMAN	HV158_HUMAN Immunoglobulin heavy variable 1-58	IGHV1-58	Homo sapiens
A0A0C4DH41	HV461_HUMAN	HV461_HUMAN Immunoglobulin heavy variable 4-61	IGHV4-61	Homo sapiens
A0A0C4DH42	HV366_HUMAN	HV366_HUMAN Immunoglobulin heavy variable 3-66	IGHV3-66	Homo sapiens
A0A0C4DH43	HV70D_HUMAN	HV70D_HUMAN Immunoglobulin heavy variable 2-70D	IGHV2-70D	Homo sapiens
A0A0C4DH55	KVD07_HUMAN	KVD07_HUMAN Immunoglobulin kappa variable 3D-7	IGKV3D-7	Homo sapiens
A0A0C4DH59	TVB54_HUMAN	TVB54_HUMAN T cell receptor beta variable 5-4	TRBV5-4	Homo sapiens
A0A0C4DH62	HJ01_HUMAN	HJ01_HUMAN Immunoglobulin heavy joining 1	IGHJ1	Homo sapiens
A0A0C4DH67	KV108_HUMAN	KV108_HUMAN Immunoglobulin kappa variable 1-8	IGKV1-8	Homo sapiens
A0A0C4DH68	KV224_HUMAN	KV224_HUMAN Immunoglobulin kappa variable 2-24	IGKV2-24	Homo sapiens
A0A0C4DH69	KV109_HUMAN	KV109_HUMAN Immunoglobulin kappa variable 1-9	IGKV1-9	Homo sapiens
A0A0C4DH72	KV106_HUMAN	KV106_HUMAN Immunoglobulin kappa variable 1-6	IGKV1-6	Homo sapiens
A0A0C4DH73	KV112_HUMAN	KV112_HUMAN Immunoglobulin kappa variable 1-12	IGKV1-12	Homo sapiens
A0A0C5B5G6	MOTSC_HUMAN	MOTSC_HUMAN Mitochondrial-derived peptide MOTS-c	MT-RNR1	Homo sapiens
A0A0D9SF12	CC163_HUMAN	CC163_HUMAN Transmembrane protein CCDC163	CCDC163	Homo sapiens
A0A0G2JMD5	PRA33_HUMAN	PRA33_HUMAN PRAME family member 33	PRAMEF33	Homo sapiens
A0A0G2JMI3	HV692_HUMAN	HV692_HUMAN Immunoglobulin heavy variable 1-69-2	IGHV1-69-2	Homo sapiens
A0A0G2JS06	LV539_HUMAN	LV539_HUMAN Immunoglobulin lambda variable 5-39	IGLV5-39	Homo sapiens
A0A0J9YVY3	HV741_HUMAN	HV741_HUMAN Immunoglobulin heavy variable 7-4-1	IGHV7-4-1	Homo sapiens
A0A0J9YWL9	TX13C_HUMAN	TX13C_HUMAN Putative testis-expressed protein 13C	TEX13C	Homo sapiens
A0A0J9YWP8	TJB13_HUMAN	TJB13_HUMAN T cell receptor beta joining 1-3	TRBJ1-3	Homo sapiens
A0A0J9YWX3	TJB16_HUMAN	TJB16_HUMAN T cell receptor beta joining 1-6	TRBJ1-6	Homo sapiens
A0A0J9YX06	TJB12_HUMAN	TJB12_HUMAN T cell receptor beta joining 1-2	TRBJ1-2	Homo sapiens
A0A0J9YX35	HV64D_HUMAN	HV64D_HUMAN Immunoglobulin heavy variable 3-64D	IGHV3-64D	Homo sapiens
A0A0J9YX75	TVB69_HUMAN	TVB69_HUMAN T cell receptor beta variable 6-9	TRBV6-9	Homo sapiens
A0A0J9YX94	PMA6F_HUMAN	PMA6F_HUMAN Paraneoplastic antigen Ma6F	PNMA6F	Homo sapiens
A0A0J9YXA8	TJB11_HUMAN	TJB11_HUMAN T cell receptor beta joining 1-1	TRBJ1-1	Homo sapiens
A0A0J9YXG5	TJB14_HUMAN	TJB14_HUMAN T cell receptor beta joining 1-4	TRBJ1-4	Homo sapiens
A0A0J9YXM7	TJB15_HUMAN	TJB15_HUMAN T cell receptor beta joining 1-5	TRBJ1-5	Homo sapiens
A0A0J9YXQ4	PMA6E_HUMAN	PMA6E_HUMAN Paraneoplastic antigen Ma6E	PNMA6E	Homo sapiens
A0A0J9YXX1	HV5X1_HUMAN	HV5X1_HUMAN Immunoglobulin heavy variable 5-10-1	IGHV5-10-1	Homo sapiens
A0A0J9YXY3	TVB62_HUMAN	TVB62_HUMAN T cell receptor beta variable 6-2	TRBV6-2	Homo sapiens
A0A0J9YY54	TX13D_HUMAN	TX13D_HUMAN Testis-expressed protein 13D	TEX13D	Homo sapiens
A0A0K0K1A3	TVBJ1_HUMAN	TVBJ1_HUMAN T cell receptor beta variable 10-1	TRBV10-1	Homo sapiens
A0A0K0K1A5	TVB65_HUMAN	TVB65_HUMAN T cell receptor beta variable 6-5	TRBV6-5	Homo sapiens
A0A0K0K1B3	TVB30_HUMAN	TVB30_HUMAN T cell receptor beta variable 30	TRBV30	Homo sapiens
A0A0K0K1C0	TVBK1_HUMAN	TVBK1_HUMAN T cell receptor beta variable 11-1	TRBV11-1	Homo sapiens
A0A0K0K1C4	TVB27_HUMAN	TVB27_HUMAN T cell receptor beta variable 27	TRBV27	Homo sapiens
A0A0K0K1D8	TVB61_HUMAN	TVB61_HUMAN T cell receptor beta variable 6-1	TRBV6-1	Homo sapiens
A0A0K0K1E9	TVB77_HUMAN	TVB77_HUMAN T cell receptor beta variable 7-7	TRBV7-7	Homo sapiens
A0A0K0K1G6	TVBJ3_HUMAN	TVBJ3_HUMAN T cell receptor beta variable 10-3	TRBV10-3	Homo sapiens
A0A0K0K1G8	TVBJ2_HUMAN	TVBJ2_HUMAN T cell receptor beta variable 10-2	TRBV10-2	Homo sapiens
A0A0K2S4Q6	CD3CH_HUMAN	CD3CH_HUMAN Protein CD300H	CD300H	Homo sapiens
A0A0U1RQE8	GLYLB_HUMAN	GLYLB_HUMAN Putative glycine N-acyltransferase-like protein 1B	GLYATL1B	Homo sapiens
A0A0U1RQF7	DP2NB_HUMAN	DP2NB_HUMAN DPEP2 neighbor protein	DPEP2NB	Homo sapiens
A0A0U1RQI7	KLF18_HUMAN	KLF18_HUMAN Kruppel-like factor 18	KLF18	Homo sapiens
A0A0U1RQS6	TM275_HUMAN	TM275_HUMAN Transmembrane protein 275	TMEM275	Homo sapiens
A0A0U1RR11	CENL1_HUMAN	CENL1_HUMAN Centromere protein V-like protein 1	CENPVL1	Homo sapiens
